feature,baseline_missing_pct,production_missing_pct,baseline_dtype,production_dtype,missing_increase
EMERGENCYSTATE_MODE,47.24,49.18918918918919,str,str,1.949189189189191
LANDAREA_AVG,59.18,60.54054054054055,float64,float64,1.3605405405405477
LANDAREA_MEDI,59.18,60.54054054054055,float64,float64,1.3605405405405477
LANDAREA_MODE,59.18,60.54054054054055,float64,float64,1.3605405405405477
installments_sum,5.42,6.756756756756757,float64,float64,1.336756756756757
installments_count,5.42,6.756756756756757,float64,float64,1.336756756756757
payment_sum,5.42,6.756756756756757,float64,float64,1.336756756756757
installments_mean,5.42,6.756756756756757,float64,float64,1.336756756756757
payment_mean,5.43,6.756756756756757,float64,float64,1.3267567567567573
payment_days_mean,5.43,6.756756756756757,float64,float64,1.3267567567567573
TOTALAREA_MODE,48.24,49.45945945945946,float64,float64,1.2194594594594577
previous_app_amount_mean,5.55,6.756756756756757,float64,float64,1.2067567567567572
previous_credit_mean,5.55,6.756756756756757,float64,float64,1.2067567567567572
previous_app_count,5.55,6.756756756756757,float64,float64,1.2067567567567572
YEARS_BEGINEXPLUATATION_AVG,48.66,49.72972972972973,float64,float64,1.0697297297297368
YEARS_BEGINEXPLUATATION_MODE,48.66,49.72972972972973,float64,float64,1.0697297297297368
YEARS_BEGINEXPLUATATION_MEDI,48.66,49.72972972972973,float64,float64,1.0697297297297368
LIVINGAREA_MODE,50.11,51.08108108108108,float64,float64,0.9710810810810813
LIVINGAREA_AVG,50.11,51.08108108108108,float64,float64,0.9710810810810813
LIVINGAREA_MEDI,50.11,51.08108108108108,float64,float64,0.9710810810810813
pos_count,6.2,7.027027027027027,float64,float64,0.827027027027027
pos_installment_sum,6.2,7.027027027027027,float64,float64,0.827027027027027
pos_future_installment,6.2,7.027027027027027,float64,float64,0.827027027027027
FONDKAPREMONT_MODE,67.96,68.64864864864865,str,str,0.6886486486486518
credit_card_balance_sum,72.89,73.51351351351352,float64,float64,0.6235135135135152
credit_card_balance_max,72.89,73.51351351351352,float64,float64,0.6235135135135152
credit_card_balance_mean,72.89,73.51351351351352,float64,float64,0.6235135135135152
credit_card_count,72.89,73.51351351351352,float64,float64,0.6235135135135152
credit_card_limit_mean,72.89,73.51351351351352,float64,float64,0.6235135135135152
credit_card_limit_sum,72.89,73.51351351351352,float64,float64,0.6235135135135152
APARTMENTS_MODE,50.57000000000001,51.08108108108108,float64,float64,0.5110810810810733
APARTMENTS_MEDI,50.57000000000001,51.08108108108108,float64,float64,0.5110810810810733
APARTMENTS_AVG,50.57000000000001,51.08108108108108,float64,float64,0.5110810810810733
NAME_EDUCATION_TYPE,0.0,0.0,str,str,0.0
AMT_CREDIT,0.0,0.0,float64,float64,0.0
DAYS_BIRTH,0.0,0.0,int64,int64,0.0
FLAG_EMP_PHONE,0.0,0.0,int64,int64,0.0
ORGANIZATION_TYPE,0.0,0.0,str,str,0.0
FLAG_DOCUMENT_6,0.0,0.0,int64,int64,0.0
REGION_RATING_CLIENT,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_7,0.0,0.0,int64,int64,0.0
REGION_POPULATION_RELATIVE,0.0,0.0,float64,float64,0.0
LIVE_CITY_NOT_WORK_CITY,0.0,0.0,int64,int64,0.0
CNT_CHILDREN,0.0,0.0,int64,int64,0.0
REGION_RATING_CLIENT_W_CITY,0.0,0.0,int64,int64,0.0
NAME_HOUSING_TYPE,0.0,0.0,str,str,0.0
CODE_GENDER,0.0,0.0,str,str,0.0
AMT_INCOME_TOTAL,0.0,0.0,float64,float64,0.0
FLAG_DOCUMENT_18,0.0,0.0,int64,int64,0.0
FLAG_DOCUMENT_20,0.0,0.0,int64,int64,0.0
NAME_CONTRACT_TYPE,0.0,0.0,str,str,0.0
REG_CITY_NOT_WORK_CITY,0.0,0.0,int64,int64,0.0
FLAG_OWN_CAR,0.0,0.0,str,str,0.0
FLAG_DOCUMENT_3,0.0,0.0,int64,int64,0.0
FLAG_PHONE,0.0,0.0,int64,int64,0.0
WEEKDAY_APPR_PROCESS_START,0.0,0.0,str,str,0.0
FLAG_DOCUMENT_19,0.0,0.0,int64,int64,0.0
